ts,open,high,low,close,vol,date
1739043000,96329.7,96329.99,95700.0,95900.0,0.4808394847,2025-02-08 19:30:00
1739046600,96194.57,96194.58,95473.03,95999.53,0.2716518917,2025-02-08 20:30:00
1739050200,95724.48,96140.0,95721.0,96136.88,0.1009582245,2025-02-08 21:30:00
1739053800,96136.59,96137.83,95850.0,95857.21,0.022922355,2025-02-08 22:30:00
1739057400,95858.33,96109.99,95850.0,95851.03,0.040961351,2025-02-08 23:30:00
1739061000,95881.41,96139.0,95851.03,96139.0,0.1408383375,2025-02-09 00:30:00
1739064600,96139.0,96328.22,95687.46,95847.25,0.1858170365,2025-02-09 01:30:00
1739068200,96164.0,96200.0,95847.26,96200.0,0.0905669443,2025-02-09 02:30:00
1739071800,96200.0,96800.0,96005.0,96340.0,0.3534520275,2025-02-09 03:30:00
1739075400,96340.0,96600.0,96229.02,96305.0,0.524765396,2025-02-09 04:30:00
1739079000,96305.0,96495.0,95912.0,96000.0,0.8111158356,2025-02-09 05:30:00
1739082600,96000.0,96349.69,96000.0,96044.0,0.7488811499,2025-02-09 06:30:00
1739086200,96148.0,96492.97,96042.0,96420.0,1.6872974066,2025-02-09 07:30:00
1739089800,96420.0,96585.85,95957.0,96197.0,0.8246340617,2025-02-09 08:30:00
1739093400,96012.97,96290.0,95764.98,95770.73,0.8125940513,2025-02-09 09:30:00
1739097000,95770.73,96180.0,95770.73,96021.0,0.4729733637,2025-02-09 10:30:00
1739100600,96021.0,96021.0,95667.0,95888.0,0.3142433247,2025-02-09 11:30:00
1739104200,95710.0,95898.98,95500.0,95580.0,0.6963464729,2025-02-09 12:30:00
1739107800,95583.99,95583.99,95186.78,95200.01,0.6464422801,2025-02-09 13:30:00
1739111400,95200.01,95900.0,95200.01,95898.99,0.3738217296,2025-02-09 14:30:00
1739115000,95898.89,95900.0,95700.02,95899.0,0.3163729977,2025-02-09 15:30:00
1739118600,95899.0,95900.0,95338.89,95600.0,0.6032422423,2025-02-09 16:30:00
1739122200,95600.0,95797.98,95351.0,95498.0,0.4064679704,2025-02-09 17:30:00
1739125800,95358.05,95650.0,95352.0,95352.0,0.2395213408,2025-02-09 18:30:00
1739129400,95352.0,95800.0,95209.0,95600.01,0.4826457365,2025-02-09 19:30:00
1739133000,95600.01,95944.25,95340.0,95340.0,0.6501700493,2025-02-09 20:30:00
1739136600,95307.01,95307.01,94367.46,95100.0,2.0303228483,2025-02-09 21:30:00
1739140200,95100.0,95900.0,94799.63,95609.97,0.3726819457,2025-02-09 22:30:00
1739143800,95584.0,96300.0,95337.41,96003.07,0.7763503396,2025-02-09 23:30:00
1739147400,96020.0,96278.03,95151.39,95310.96,0.2444310262,2025-02-10 00:30:00
1739151000,95310.96,95690.51,94600.0,95174.15,0.3164375654,2025-02-10 01:30:00
1739154600,94891.16,95774.62,94850.01,95112.14,0.1016029079,2025-02-10 02:30:00
1739158200,95518.14,96258.0,95518.14,95902.82,0.505118082,2025-02-10 03:30:00
1739161800,95902.82,96300.0,95900.0,96100.0,0.51930501,2025-02-10 04:30:00
1739165400,96000.0,96450.0,95964.16,96299.0,2.4941298727,2025-02-10 05:30:00
1739169000,96001.04,96375.0,96000.11,96228.0,0.5559173387,2025-02-10 06:30:00
1739172600,96228.0,97000.0,96228.0,96665.0,1.8970024821,2025-02-10 07:30:00
1739176200,96830.0,97000.0,96700.01,96828.0,0.5520636342,2025-02-10 08:30:00
1739179800,96828.0,97200.0,96640.24,97199.99,0.7001827757,2025-02-10 09:30:00
1739183400,97002.0,97199.99,96810.0,97104.36,0.6504454756,2025-02-10 10:30:00
1739187000,97139.0,97140.0,96574.1,96574.1,0.5116904882,2025-02-10 11:30:00
1739190600,96574.1,96900.0,96301.0,96700.0,0.9417192739,2025-02-10 12:30:00
1739194200,96860.0,97500.0,96481.94,97149.99,1.1773868706,2025-02-10 13:30:00
1739197800,97149.98,97390.0,96300.0,96607.89,0.9205859878,2025-02-10 14:30:00
1739201400,96599.97,96700.0,96300.0,96663.78,0.4873073117,2025-02-10 15:30:00
1739205000,96403.05,96624.16,96101.0,96386.11,0.5455845855,2025-02-10 16:30:00
1739208600,96411.3,97000.0,96411.3,96669.0,0.5390102369,2025-02-10 17:30:00
1739212200,96580.0,96987.0,96510.0,96954.0,0.4936605349,2025-02-10 18:30:00
1739215800,96954.0,97000.0,96510.0,96523.0,0.4732413763,2025-02-10 19:30:00
1739219400,96520.87,96800.0,96500.01,96626.0,0.2951877438,2025-02-10 20:30:00
1739223000,96602.3,97000.0,96602.2,96899.96,0.2209195218,2025-02-10 21:30:00
1739226600,96710.0,96999.99,96640.01,96647.01,0.0764079163,2025-02-10 22:30:00
1739230200,96769.99,97000.0,96648.0,97000.0,0.0631663315,2025-02-10 23:30:00
1739233800,97100.0,97300.0,96900.15,97250.01,0.1563480426,2025-02-11 00:30:00
1739237400,96991.5,97399.0,96988.0,97395.86,0.0789135689,2025-02-11 01:30:00
1739241000,96988.3,97300.0,96658.17,96758.02,0.0961792632,2025-02-11 02:30:00
1739244600,97006.34,97006.34,96640.0,96800.0,0.312238591,2025-02-11 03:30:00
1739248200,96800.0,97450.0,96800.0,97397.55,0.5279965765,2025-02-11 04:30:00
1739251800,97397.55,97500.0,97310.0,97311.99,1.1686844154,2025-02-11 05:30:00
1739255400,97311.99,97490.0,97300.0,97470.0,0.6115098548,2025-02-11 06:30:00
1739259000,97385.9,97600.0,97300.0,97301.0,1.3964820492,2025-02-11 07:30:00
1739262600,97301.0,97678.98,97300.0,97400.0,0.4537927466,2025-02-11 08:30:00
1739266200,97400.0,97678.98,97251.04,97251.04,0.4399506125,2025-02-11 09:30:00
1739269800,97266.66,97600.0,97220.0,97600.0,0.3513161153,2025-02-11 10:30:00
1739273400,97600.0,97800.0,97250.0,97250.0,0.5796185443,2025-02-11 11:30:00
1739277000,97304.0,97304.0,97000.0,97000.0,0.2889613641,2025-02-11 12:30:00
1739280600,97000.0,97000.0,96301.0,96430.0,1.8031983982,2025-02-11 13:30:00
1739284200,96430.0,96720.0,96300.0,96500.0,0.6261893919,2025-02-11 14:30:00
1739287800,96500.0,96720.0,96200.0,96250.0,0.7836222218,2025-02-11 15:30:00
1739291400,96250.0,96400.0,95602.01,96024.94,1.4226218463,2025-02-11 16:30:00
1739295000,96024.63,96024.63,95500.0,95500.0,0.8579484658,2025-02-11 17:30:00
1739298600,95500.0,95994.81,95020.0,95050.0,1.0365853464,2025-02-11 18:30:00
1739302200,95050.0,95370.0,94851.0,95149.0,1.4058549235,2025-02-11 19:30:00
1739305800,95149.0,95500.0,95015.0,95500.0,1.8734678462,2025-02-11 20:30:00
